species	superkingdom	phylum	class	order	family
mesonia_mobilis	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
microbacterium_oxydans	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
gillisia_mitskevichiae	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
catellibacterium_nectariphilum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
halomonas_arcis	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae
streptomyces_avicenniae	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
staphylococcus_warneri	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
streptomyces_olivaceoviridis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
thermomonas_brevis	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
roseospirillum_parvum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae
flavobacterium_segetis	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
nocardioides_hungaricus	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae
brevibacillus_parabrevis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
halanaerobacter_chitinivorans	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae
bartonella_queenslandensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae
acetonema_longum	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae
thermoanaerobacter_siderophilus	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
tindallia_californiensis	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
paenibacillus_castaneae	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
sphingopyxis_soli	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
