species	superkingdom	phylum	class
dietzia_cinnamea	Bacteria	Actinobacteria	
richmondena_cardinalis	Eukaryota	Chordata	
methanocella_arvoryzae	Archaea	Euryarchaeota	
pantoea_agglomerans	Bacteria	Proteobacteria	Gammaproteobacteria
kluyveromyces_thermotolerans	Eukaryota	Ascomycota	
comamonas_koreensis	Bacteria	Proteobacteria	Betaproteobacteria
streptomyces_purpureus	Bacteria	Actinobacteria	
novosphingobium_taihuense	Bacteria	Proteobacteria	Alphaproteobacteria
rhodobaca_bogoriensis	Bacteria	Proteobacteria	Alphaproteobacteria
condylura_cristata	Eukaryota	Chordata	
helicobacter_hepaticus	Bacteria	Proteobacteria	Epsilonproteobacteria
botryotinia_fuckeliana	Eukaryota	Ascomycota	
streptomyces_nanhaiensis	Bacteria	Actinobacteria	
burkholderia_sacchari	Bacteria	Proteobacteria	Betaproteobacteria
staphylococcus_lentus	Bacteria	Firmicutes	
paenibacillus_durus	Bacteria	Firmicutes	
raoultella_planticola	Bacteria	Proteobacteria	Gammaproteobacteria
mycobacterium_malmoense	Bacteria	Actinobacteria	
trametes_suaveolens	Eukaryota	Basidiomycota	
mangrovibacter_plantisponsor	Bacteria	Proteobacteria	Gammaproteobacteria
nocardiopsis_synnemataformans	Bacteria	Actinobacteria	
jejuia_pallidilutea	Bacteria	Bacteroidetes	
rhodoglobus_aureus	Bacteria	Actinobacteria	
clostridium_grantii	Bacteria	Firmicutes	
hieracium_aurantiacum	Eukaryota	Streptophyta	
xylophilus_ampelinus	Bacteria	Proteobacteria	Betaproteobacteria
microtus_californicus	Eukaryota	Chordata	
penicillium_turbatum	Eukaryota	Ascomycota	
paenibacillus_alvei	Bacteria	Firmicutes	
desulfobaculum_xiamenense	Bacteria	Proteobacteria	Deltaproteobacteria
deinococcus_deserti	Bacteria	Deinococcus-Thermus	
chryseobacterium_solincola	Bacteria	Bacteroidetes	
mycobacterium_monacense	Bacteria	Actinobacteria	
vibrio_neptunius	Bacteria	Proteobacteria	Gammaproteobacteria
sporosarcina_luteola	Bacteria	Firmicutes	
